data_source,platform,address_id,city,neighborhood,zone_type,lat,lon,product_name,item_price_mxn,delivery_fee_mxn,service_fee_mxn,total_checkout_mxn,eta_minutes,promotions_visible,store_available,scraped_at
playwright_rappi,rappi,MX_LEO_01,León,Centro,urban_secondary,21.125,-101.686,McNuggets 10 piezas,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:46:13Z
playwright_rappi,rappi,MX_MID_01,Mérida,Paseo Montejo,urban_secondary,20.967,-89.623,Coca-Cola 600ml,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:44:35Z
playwright_rappi,rappi,MX_MID_01,Mérida,Paseo Montejo,urban_secondary,20.967,-89.623,Combo Big Mac,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:44:35Z
playwright_rappi,rappi,MX_MID_01,Mérida,Paseo Montejo,urban_secondary,20.967,-89.623,McNuggets 10 piezas,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:44:35Z
playwright_rappi,rappi,MX_MTY_01,Monterrey,San Pedro,urban_core,25.657,-100.402,Coca-Cola 600ml,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:42:35Z
playwright_rappi,rappi,MX_MTY_01,Monterrey,San Pedro,urban_core,25.657,-100.402,Combo Big Mac,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:42:35Z
playwright_rappi,rappi,MX_MTY_01,Monterrey,San Pedro,urban_core,25.657,-100.402,McNuggets 10 piezas,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:42:35Z
playwright_rappi,rappi,MX_MTY_02,Monterrey,García,periphery,25.78,-100.59,Coca-Cola 600ml,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:43:04Z
playwright_rappi,rappi,MX_MTY_02,Monterrey,García,periphery,25.78,-100.59,Combo Big Mac,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:43:04Z
playwright_rappi,rappi,MX_MTY_02,Monterrey,García,periphery,25.78,-100.59,McNuggets 10 piezas,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:43:04Z
playwright_rappi,rappi,MX_MXL_01,Mexicali,Centro,border_urban,32.624,-115.454,Coca-Cola 600ml,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T18:14:20Z
playwright_rappi,rappi,MX_MXL_01,Mexicali,Centro,border_urban,32.624,-115.454,Combo Big Mac,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T18:14:20Z
playwright_rappi,rappi,MX_MXL_01,Mexicali,Centro,border_urban,32.624,-115.454,McNuggets 10 piezas,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T18:14:20Z
playwright_rappi,rappi,MX_PUE_01,Puebla,Angelópolis,urban_secondary,19.0,-98.25,Coca-Cola 600ml,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:43:35Z
playwright_rappi,rappi,MX_PUE_01,Puebla,Angelópolis,urban_secondary,19.0,-98.25,Combo Big Mac,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:43:35Z
playwright_rappi,rappi,MX_PUE_01,Puebla,Angelópolis,urban_secondary,19.0,-98.25,McNuggets 10 piezas,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:43:35Z
playwright_rappi,rappi,MX_QRO_01,Querétaro,Centro Histórico,urban_secondary,20.588,-100.388,Coca-Cola 600ml,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:44:05Z
playwright_rappi,rappi,MX_QRO_01,Querétaro,Centro Histórico,urban_secondary,20.588,-100.388,Combo Big Mac,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:44:05Z
playwright_rappi,rappi,MX_QRO_01,Querétaro,Centro Histórico,urban_secondary,20.588,-100.388,McNuggets 10 piezas,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:44:05Z
playwright_rappi,rappi,MX_TIJ_01,Tijuana,Zona Río,border_urban,32.53,-117.02,Coca-Cola 600ml,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:45:40Z
playwright_rappi,rappi,MX_TIJ_01,Tijuana,Zona Río,border_urban,32.53,-117.02,Combo Big Mac,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:45:40Z
playwright_rappi,rappi,MX_TIJ_01,Tijuana,Zona Río,border_urban,32.53,-117.02,McNuggets 10 piezas,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:45:40Z
playwright_rappi,rappi,MX_VER_01,Veracruz,Centro,coastal,19.173,-96.134,Coca-Cola 600ml,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:47:15Z
playwright_rappi,rappi,MX_VER_01,Veracruz,Centro,coastal,19.173,-96.134,Combo Big Mac,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:47:15Z
playwright_rappi,rappi,MX_VER_01,Veracruz,Centro,coastal,19.173,-96.134,McNuggets 10 piezas,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:47:15Z
playwright_uber_eats,uber_eats,MX_AGS_01,Aguascalientes,Centro,urban_secondary,21.885,-102.291,Coca-Cola 600ml,,,,,21.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:34:52Z
playwright_uber_eats,uber_eats,MX_AGS_01,Aguascalientes,Centro,urban_secondary,21.885,-102.291,Combo Big Mac,,,,,21.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:34:52Z
playwright_uber_eats,uber_eats,MX_AGS_01,Aguascalientes,Centro,urban_secondary,21.885,-102.291,McNuggets 10 piezas,,,,,21.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:34:52Z
playwright_uber_eats,uber_eats,MX_CDMX_01,Ciudad de México,Roma Norte,urban_core,19.4194,-99.1556,Coca-Cola 600ml,55.0,,,55.0,10.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:22:07Z
playwright_uber_eats,uber_eats,MX_CDMX_01,Ciudad de México,Roma Norte,urban_core,19.4194,-99.1556,Combo Big Mac,,,,,10.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:22:07Z
